Gene stable ID,Gene name,Gene Synonym
ENSG00000291190,A2MP1,A2MP
ENSG00000291084,ALOX12P2,ALOX12E
ENSG00000291087,CRYBB2P1,CRYB2B
ENSG00000290874,CTSLP2,bA144G6.6
ENSG00000290874,CTSLP2,bA342C24.4
ENSG00000290874,CTSLP2,CTSL1P2
ENSG00000290874,CTSLP2,CTSL1P5
ENSG00000290874,CTSLP2,CTSL1P7
ENSG00000290874,CTSLP2,CTSLL2
ENSG00000290874,CTSLP2,CTSLL5
ENSG00000290874,CTSLP2,CTSLL7
ENSG00000290874,CTSLP2,CTSLP5
ENSG00000290874,CTSLP2,CTSLP7
ENSG00000291083,CYP2B7P,CYP2B
ENSG00000291083,CYP2B7P,CYP2B7
ENSG00000291083,CYP2B7P,CYP2B7P1
ENSG00000291135,FCGR1BP,CD34
ENSG00000291135,FCGR1BP,CD64b
ENSG00000291135,FCGR1BP,FCG1
ENSG00000291135,FCGR1BP,FcgammaRIa
ENSG00000291135,FCGR1BP,FCGR1
ENSG00000291135,FCGR1BP,FCGR1B
ENSG00000291135,FCGR1BP,FcRI
ENSG00000291135,FCGR1BP,IGFR1
ENSG00000291135,FCGR1BP,IGFRB
ENSG00000291137,GBAP1,Beta-GC
ENSG00000291137,GBAP1,GBA
ENSG00000291137,GBAP1,GBAP
ENSG00000291137,GBAP1,GC
ENSG00000291137,GBAP1,GLUC
ENSG00000290871,GTF2IP1,WBSCR7
ENSG00000290741,SAA3P,SAA3
ENSG00000125863,MKKS,BBS6
ENSG00000285508,MKKS,BBS6
ENSG00000285723,MKKS,BBS6
ENSG00000125863,MKKS,HMCS
ENSG00000285508,MKKS,HMCS
ENSG00000285723,MKKS,HMCS
ENSG00000125863,MKKS,KMS
ENSG00000285508,MKKS,KMS
ENSG00000285723,MKKS,KMS
ENSG00000125863,MKKS,MKS
ENSG00000285508,MKKS,MKS
ENSG00000285723,MKKS,MKS
ENSG00000232995,RGS5,MST092
ENSG00000143248,RGS5,MST092
ENSG00000232995,RGS5,MST106
ENSG00000143248,RGS5,MST106
ENSG00000232995,RGS5,MST129
ENSG00000143248,RGS5,MST129
ENSG00000232995,RGS5,MSTP032
ENSG00000143248,RGS5,MSTP032
ENSG00000232995,RGS5,MSTP092
ENSG00000143248,RGS5,MSTP092
ENSG00000232995,RGS5,MSTP106
ENSG00000143248,RGS5,MSTP106
ENSG00000232995,RGS5,MSTP129
ENSG00000143248,RGS5,MSTP129
ENSG00000290724,XKRY,XKRY1
ENSG00000282103,DLGAP2,C8orf68
ENSG00000282152,DLGAP2,C8orf68
ENSG00000274161,DLGAP2,C8orf68
ENSG00000282318,DLGAP2,C8orf68
ENSG00000198010,DLGAP2,C8orf68
ENSG00000282103,DLGAP2,DAP2
ENSG00000282152,DLGAP2,DAP2
ENSG00000274161,DLGAP2,DAP2
ENSG00000282318,DLGAP2,DAP2
ENSG00000198010,DLGAP2,DAP2
ENSG00000282103,DLGAP2,ERICH1-AS1
ENSG00000282152,DLGAP2,ERICH1-AS1
ENSG00000274161,DLGAP2,ERICH1-AS1
ENSG00000282318,DLGAP2,ERICH1-AS1
ENSG00000198010,DLGAP2,ERICH1-AS1
ENSG00000282103,DLGAP2,SAPAP2
ENSG00000282152,DLGAP2,SAPAP2
ENSG00000274161,DLGAP2,SAPAP2
ENSG00000282318,DLGAP2,SAPAP2
ENSG00000198010,DLGAP2,SAPAP2
ENSG00000290584,TAAR3P,GPR57
ENSG00000290584,TAAR3P,GPR58
ENSG00000290584,TAAR3P,TAAR2
