Gene stable ID,Gene name,Gene Synonym
ENSG00000103126,AXIN1,PPP1R49
ENSG00000107984,DKK1,SK
ENSG00000107984,DKK1,DKK-1
ENSG00000158161,EYA3,DKFZp686C132
ENSG00000105968,H2AZ2,MGC10170
ENSG00000105968,H2AZ2,H2AV
ENSG00000105968,H2AZ2,MGC1947
ENSG00000105968,H2AZ2,MGC10831
ENSG00000105968,H2AZ2,H2AFV
ENSG00000112562,SMOC2,
ENSG00000152284,TCF7L1,
ENSG00000122691,TWIST1,TWIST
ENSG00000122691,TWIST1,CRS1
ENSG00000122691,TWIST1,ACS3
ENSG00000122691,TWIST1,BPES2
ENSG00000122691,TWIST1,BPES3
ENSG00000122691,TWIST1,H-twist
ENSG00000122691,TWIST1,SCS
ENSG00000122691,TWIST1,CRS
ENSG00000122691,TWIST1,bHLHa38
ENSG00000157895,C12orf43,FLJ12448
ENSG00000157895,C12orf43,Custos
