Gene stable ID,Gene name,Gene Synonym
ENSG00000090861,AARS1,AlaRS
ENSG00000090861,AARS1,CMT2N
ENSG00000090861,AARS1,AARS
ENSG00000091262,ABCC6,URG7
ENSG00000091262,ABCC6,MRP6
ENSG00000091262,ABCC6,MLP1
ENSG00000091262,ABCC6,ARA
ENSG00000091262,ABCC6,PXE
ENSG00000091262,ABCC6,EST349056
ENSG00000069431,ABCC9,SUR2
ENSG00000069431,ABCC9,CMD1O
ENSG00000164163,ABCE1,RNASELI
ENSG00000164163,ABCE1,OABP
ENSG00000164163,ABCE1,RLI
ENSG00000164163,ABCE1,RNS4I
ENSG00000164163,ABCE1,RLI1
ENSG00000164163,ABCE1,RNASEL1
ENSG00000106077,ABHD11,PP1226
ENSG00000106077,ABHD11,WBSCR21
ENSG00000136518,ACTL6A,INO80K
ENSG00000136518,ACTL6A,BAF53A
ENSG00000136518,ACTL6A,Arp4
ENSG00000136518,ACTL6A,SMARCN1
ENSG00000136518,ACTL6A,Actl6
ENSG00000077522,ACTN2,
ENSG00000121989,ACVR2A,ACVR2
ENSG00000121989,ACVR2A,ACTRII
ENSG00000114739,ACVR2B,ActR-IIB
ENSG00000168803,ADAL,
ENSG00000145536,ADAMTS16,ADAMTS16s
ENSG00000163638,ADAMTS9,KIAA1312
ENSG00000197381,ADARB1,ADAR2b
ENSG00000197381,ADARB1,ADAR2a
ENSG00000197381,ADARB1,ADAR2a-L3
ENSG00000197381,ADARB1,ADAR2a-L2
ENSG00000197381,ADARB1,ADAR2
ENSG00000197381,ADARB1,RED1
ENSG00000197381,ADARB1,hRED1
ENSG00000197381,ADARB1,ADAR2a-L1
ENSG00000197381,ADARB1,ADAR2c
ENSG00000197381,ADARB1,ADAR2g
ENSG00000197381,ADARB1,DRADA2
ENSG00000197381,ADARB1,DRABA2
ENSG00000197381,ADARB1,ADAR2d
ENSG00000164742,ADCY1,AC1
ENSG00000164742,ADCY1,DFNB44
ENSG00000164742,ADCY1,AC1
ENSG00000164742,ADCY1,DFNB44
ENSG00000141433,ADCYAP1,PACAP
ENSG00000141433,ADCYAP1,PACAP
ENSG00000101126,ADNP,KIAA0784
ENSG00000101126,ADNP,ADNP1
ENSG00000101126,ADNP,KIAA0784
ENSG00000101126,ADNP,ADNP1
ENSG00000128271,ADORA2A,ADORA2
ENSG00000128271,ADORA2A,RDC8
ENSG00000035687,ADSS2,ADSS
ENSG00000084693,AGBL5,FLJ21839
ENSG00000084693,AGBL5,CCP5
ENSG00000188157,AGRN,AGRIN
ENSG00000135049,AGTPBP1,Nna1
ENSG00000135049,AGTPBP1,KIAA1035
ENSG00000135049,AGTPBP1,CCP1
ENSG00000153207,AHCTF1,ELYS
ENSG00000170017,ALCAM,MEMD
ENSG00000170017,ALCAM,CD166
ENSG00000128918,ALDH1A2,RALDH2
ENSG00000144908,ALDH1L1,FTHFD
ENSG00000144908,ALDH1L1,10-fTHF
ENSG00000144908,ALDH1L1,FDH
ENSG00000164904,ALDH7A1,EPD
ENSG00000164904,ALDH7A1,PDE
ENSG00000164904,ALDH7A1,ATQ1
ENSG00000101901,ALG13,YGL047W
ENSG00000101901,ALG13,CXorf45
ENSG00000101901,ALG13,FLJ23018
ENSG00000101901,ALG13,GLT28D1
ENSG00000101901,ALG13,CDG1S
ENSG00000101901,ALG13,MDS031
ENSG00000101901,ALG13,TDRD13
ENSG00000108839,ALOX12,12S-LOX
ENSG00000106927,AMBP,ITILC
ENSG00000106927,AMBP,IATIL
ENSG00000106927,AMBP,UTI
ENSG00000106927,AMBP,ITI
ENSG00000106927,AMBP,EDC1
ENSG00000106927,AMBP,HCP
ENSG00000106927,AMBP,ITIL
ENSG00000106927,AMBP,HI30
ENSG00000110497,AMBRA1,DCAF3
ENSG00000110497,AMBRA1,KIAA1736
ENSG00000110497,AMBRA1,FLJ20294
ENSG00000110497,AMBRA1,WDR94
ENSG00000110497,AMBRA1,DCAF3
ENSG00000110497,AMBRA1,KIAA1736
ENSG00000110497,AMBRA1,FLJ20294
ENSG00000110497,AMBRA1,WDR94
ENSG00000184675,AMER1,RP11-403E24.2
ENSG00000184675,AMER1,WTX
ENSG00000184675,AMER1,FAM123B
ENSG00000184675,AMER1,FLJ39827
ENSG00000167612,ANKRD33,PANKY
ENSG00000167612,ANKRD33,DKFZp686O1689
ENSG00000167612,ANKRD33,C12orf7
ENSG00000177119,ANO6,DKFZp313M0720
ENSG00000177119,ANO6,TMEM16F
ENSG00000134982,APC,DP2.5
ENSG00000134982,APC,DP3
ENSG00000134982,APC,DP2
ENSG00000134982,APC,PPP1R46
ENSG00000100823,APEX1,HAP1
ENSG00000100823,APEX1,REF1
ENSG00000100823,APEX1,REF-1
ENSG00000100823,APEX1,APX
ENSG00000100823,APEX1,APEX
ENSG00000100823,APEX1,APEN
ENSG00000100823,APEX1,APE-1
ENSG00000100823,APEX1,APE
ENSG00000143761,ARF1,
ENSG00000170540,ARL6IP1,AIP1
ENSG00000170540,ARL6IP1,ARL6IP
ENSG00000170540,ARL6IP1,ARMER
ENSG00000170540,ARL6IP1,SPG61
ENSG00000170540,ARL6IP1,KIAA0069
ENSG00000172379,ARNT2,bHLHe1
ENSG00000172379,ARNT2,KIAA0307
ENSG00000066279,ASPM,MCPH5
ENSG00000066279,ASPM,FLJ10549
ENSG00000066279,ASPM,FLJ10517
ENSG00000066279,ASPM,Calmbp1
ENSG00000066279,ASPM,ASP
ENSG00000137343,ATAT1,C6orf134
ENSG00000137343,ATAT1,Em:AB023049.7
ENSG00000137343,ATAT1,FLJ13158
ENSG00000137343,ATAT1,MEC17
ENSG00000130734,ATG4D,APG4D
ENSG00000130734,ATG4D,APG4-D
ENSG00000130734,ATG4D,AUTL4
ENSG00000057663,ATG5,APG5L
ENSG00000057663,ATG5,APG5
ENSG00000057663,ATG5,ASP
ENSG00000057663,ATG5,hAPG5
ENSG00000197548,ATG7,GSA7
ENSG00000197548,ATG7,APG7L
ENSG00000197548,ATG7,DKFZp434N0735
ENSG00000168874,ATOH8,bHLHa21
ENSG00000168874,ATOH8,FLJ14708
ENSG00000168874,ATOH8,HATH6
