Gene name,Gene name2,Gene Synonym 0,Gene Synonym 1,Gene Synonym 2,Gene Synonym 3,Gene Synonym 4,Gene Synonym 5,Gene Synonym 6,Gene Synonym 7,Gene Synonym 8,Gene Synonym 9,Gene Synonym 10,Gene Synonym 11,Gene Synonym 12,Gene Synonym 13,Gene Synonym 14,Gene Synonym 15,Gene Synonym 16,Gene Synonym 17,Gene Synonym 18,Gene Synonym 19,Gene Synonym 20,Gene Synonym 21,Gene Synonym 22,Gene Synonym 23,Gene Synonym 24,Gene Synonym 25,Gene Synonym 26,Gene Synonym 27,Gene Synonym 28,Gene Synonym 29,Gene Synonym 30,Gene Synonym 31
5_8S_rRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5S_rRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1BG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1BG-AS1,,NCRNA00181,FLJ23569,A1BGAS,A1BG-AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1CF,,ASP,APOBEC1CF,ACF65,ACF64,ACF,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2M,,S863-7,FWP007,CPAMD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2M-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2ML1,,p170,FLJ25179,CPAMD9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2ML1-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2ML1-AS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2MP1,,A2MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3GALT2,,IGBS3S,IGB3S,A3GALT2P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4GALT,,P1,P(k),Gb3S,A14GALT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4GNT,,alpha4GnT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA06,,AA05,AA04,AA02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AACS,,SUR-5,FLJ12389,ACSF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AACSP1,,AACSL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AADAC,,DAC,CES5A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AADACL2,,MGC72001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AADACL2-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AADACL3,,OTTHUMG00000001887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AADACL4,,OTTHUMG00000001889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AADACP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AADAT,,KYAT2,KATII,KAT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAGAB,,p34,FLJ11506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAK1,,KIAA1048,DKFZp686K16132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAMDC,,PTD015,FLJ21035,CK067,C11orf67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AANAT,,SNAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAR2,,C20orf4,bA234K24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARD,,LOC441376,C8orf85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARS1,,CMT2N,AlaRS,AARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARS1P1,,AARSP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARS2,,KIAA1270,bA444E17.1,AARSL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARSD1,,MGC2744,AlaXp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARSD1P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AASDH,,NRPS998,LYS2,ACSF4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AASDHPPT,,LYS5,CGI-80,ACPS,AASD-PPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AASS,,LORSDH,LKRSDH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AATBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AATF,,DED,CHE1,CHE-1,BFR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AATK,,PPP1R77,LMTK1,LMR1,KIAA0641,AATYK1,AATYK,,,,,,,,,,,,,,,,,,,,,,,,,,
ABALON,,INXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAT,,GABAT,GABA-T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCA1,,TGD,HDLDT1,ABC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCA10,,EST698739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCA11P,,FLJ14297,EST1133530,ABCA11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCA12,,LI2,ICR2B,DKFZP434G232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCA13,,FLJ33951,FLJ33876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCA17P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCA2,,ABC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCA3,,LBM180,EST111653,ABC3,ABC-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCA3P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCA4,,STGD1,STGD,RP19,FFM,CORD3,ARMD2,ABCR,,,,,,,,,,,,,,,,,,,,,,,,,
ABCA5,,EST90625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCA6,,EST155051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCA7,,ABCX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCA8,,KIAA0822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCA9,,EST640918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCA9-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCB1,,PGY1,P-gp,p-170,MDR1,GP170,CLCS,CD243,ABC20,,,,,,,,,,,,,,,,,,,,,,,,
ABCB10,,MTABC2,M-ABC2,EST20237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCB10P1,,MABC2,M-ABC2,ABCB10P2,ABCB10P,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCB10P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCB10P4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCB11,,SPGP,PGY4,PFIC2,PFIC-2,BSEP,ABC16,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCB4,,PGY3,PFIC-3,MDR3,MDR2,GBD1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCB5,,EST422562,ABCB5beta,ABCB5alpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCB6,,umat,MTABC3,EST45597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCB7,,EST140535,Atm1p,ASAT,ABC7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCB8,,MITOSUR,MABC1,M-ABC1,EST328128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCB9,,EST122234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCC1,,MRP1,MRP,GS-X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCC10,,SIMRP7,MRP7,EST182763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCC11,,MRP8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCC12,,MRP9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCC13,,PRED6,C21orf73,ABCC13P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCC2,,MRP2,DJS,cMRP,CMOAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCC3,,MRP3,MOAT-D,MLP2,EST90757,cMOAT2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCC4,,MRP4,MOATB,MOAT-B,EST170205,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCC5,,SMRP,MRP5,MOAT-C,EST277145,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCC5-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCC6,,URG7,PXE,MRP6,MLP1,EST349056,ARA,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCC6P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCC6P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCC8,,TNDM2,SUR1,SUR,PHHI,MRP8,HRINS,HI,HHF1,ABC36,,,,,,,,,,,,,,,,,,,,,,,
ABCC9,,SUR2,CMD1O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCD1,,AMN,ALDP,ALD,adrenoleukodystrophy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCD1P2,,bA453N3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCD1P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCD1P4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCD1P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCD2,,ALDRP,ALDR,ALDL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCD3,,ZWS2,PXMP1,PMP70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCD4,,PXMP1L,PMP69,P70R,EST352188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCE1,,RNS4I,RNASELI,RNASEL1,RLI1,RLI,OABP,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCF1,,EST123147,ABC50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCF2,,M-ABC1,HUSSY-18,EST133090,ABC28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCF2-H2BK1,,ABCF2-H2BE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCF2P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCF2P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCF3,,EST201864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCG1,,ABC8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCG2,,MXR,EST157481,CD338,BCRP,ABCP,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCG4,,WHITE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCG5,,STSL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCG8,,GBD4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD1,,LABH1,FLJ36128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD10,,FLJ11342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD11,,WBSCR21,PP1226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD11-AS1,,WBSCR26,NCRNA00035,LINC00035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD12,,DKFZP434P106,dJ965G21.2,C20orf22,BEM46L2,ABHD12A,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD12B,,C14orf29,BEM46L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD13,,FLJ14906,C13orf6,BEM46L1,bA153I24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD14A,,DORZ1,DKFZP564O243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD14A-ACY1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD14B,,MGC15429,CIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD15-AS1,,lnc-TP53I13,linc-TP53I13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD16A,,NG26,D6S82E,BAT5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD16B,,dJ591C20.1,C20orf135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD17A,,MGC5244,FAM108A1,C19orf27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD17AP1,,FAM108A3P,FAM108A3,FAM108A2,FAM108A11P,C1orf47,ABHD17AP2,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD17AP3,,FAM108A4P,FAM108A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD17AP4,,FAM108A5P,FAM108A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD17AP5,,FAM108A6P,FAM108A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD17AP6,,FAM108A7P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD17AP7,,FAM108A8P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD17AP8,,FAM108A9P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD17AP9,,FAM108A10P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD17B,,FAM108B1,CGI-67,C9orf77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD17C,,FAM108C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD18,,FLJ21106,C4orf29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD2,,LABH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD3,,LABH3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD4,,FLJ12816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD5,,NCIE2,CGI-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD8,,MGC2512,MGC14280,FLJ11743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABI1,,SSH3BP1,E3B1,ABI-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABI1P1,,SSH3BP1P,ABI1P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABI2,,SSH3BP2,argBPIA,AIP-1,AblBP3,ABI2B,ABI-2,,,,,,,,,,,,,,,,,,,,,,,,,,
