Gene Synonym,Gene name
CRYB2B,CRYBB2P1
BBS6,MKKS
BBS6,MKKS
BBS6,MKKS
HMCS,MKKS
HMCS,MKKS
HMCS,MKKS
KMS,MKKS
KMS,MKKS
KMS,MKKS
MKS,MKKS
MKS,MKKS
MKS,MKKS
MST092,RGS5
MST092,RGS5
MST106,RGS5
MST106,RGS5
MST129,RGS5
MST129,RGS5
MSTP032,RGS5
MSTP032,RGS5
MSTP092,RGS5
MSTP092,RGS5
MSTP106,RGS5
MSTP106,RGS5
MSTP129,RGS5
MSTP129,RGS5
XKRY1,XKRY
C8orf68,DLGAP2
C8orf68,DLGAP2
C8orf68,DLGAP2
C8orf68,DLGAP2
C8orf68,DLGAP2
DAP2,DLGAP2
DAP2,DLGAP2
DAP2,DLGAP2
DAP2,DLGAP2
DAP2,DLGAP2
ERICH1-AS1,DLGAP2
ERICH1-AS1,DLGAP2
ERICH1-AS1,DLGAP2
ERICH1-AS1,DLGAP2
ERICH1-AS1,DLGAP2
SAPAP2,DLGAP2
SAPAP2,DLGAP2
SAPAP2,DLGAP2
SAPAP2,DLGAP2
SAPAP2,DLGAP2
ALS21,MATR3
MPD2,MATR3
VCPDM,MATR3
ADTB1L1,AP1B1P1
dJ127L4.2,AP1B1P1
SIAT7-F,ST6GALNAC6
SIAT7-F,ST6GALNAC6
SIAT7F,ST6GALNAC6
SIAT7F,ST6GALNAC6
ST6GALNACVI,ST6GALNAC6
ST6GALNACVI,ST6GALNAC6
4F-se4[6:7:8],CYP4F29P
C21orf15,CYP4F29P
CYP4F-se4[6:7:8],CYP4F29P
CYP4F3LP,CYP4F29P
C14orf107,LINC00216
NCRNA00216,LINC00216
PRO1617,LINC00216
TMEM191AP,TMEM191A
D-X,ULK4P3
FAM7A3,ULK4P3
D-X,ULK4P2
FAM7A1,ULK4P2
LRRC62,ELFN2
LRRC62,ELFN2
PPP1R29,ELFN2
PPP1R29,ELFN2
bA395L14.9,RPL23AP7
RPL23AL1,RPL23AP7
RPL23A_6_267,RPL23AP7
CFLP1,CFL1P1
bB329D4.2,NCOR1P1
C20orf191,NCOR1P1
ABCC13P,ABCC13
