Control,Injected
67539.11962204872,60526.84565726295
63258.18290560021,57735.96348201508
65146.73041920264,65216.58119884779
64508.62637072306,62612.92201494386
70966.38820365375,62978.207239645504
64418.45015929593,62175.49582110052
66610.44778119284,55767.545609720044
64919.715385355936,61149.49092664075
61542.5446989882,59263.80614990901
68854.83348782359,58267.0011715304
69663.84292748412,60768.46064915024
66411.487568679,60318.72468676288
64576.18696087164,60150.68203245264
67650.76636000612,60827.719302373785
65198.259682875294,57900.57085208048
67560.590148579,58532.66315313159
64707.872856923954,59288.71196068412
65394.92970589255,60630.47673198238
64364.05815875258,56995.946000938486
68144.5884702023,60442.39491957723
71294.74412272334,60384.28136110197
66248.02529336189,59263.51987622194
69023.44868950798,62581.145635679066
63801.24408997247,58012.503863724945
67693.13486569253,63326.02976943585
65678.05438240503,65207.42044086154
68916.3823305437,56162.31702418992
61356.18052870547,61513.917330281176
66910.74887892953,57658.383312819045
66845.19220459044,63620.032846057
63391.872717462014,61523.07808826742
67530.53141143662,63067.81090369849
68934.70384651619,59026.48526332777
64921.14675379129,61273.447433142166
67378.80635728939,56807.291641159194
65684.92495089471,62892.038859837354
69228.9931968244,56712.82132442601
66636.7849604033,60054.78034728411
66562.92634913918,54876.66189555743
68457.77188385716,58692.69014420386
65060.5620393945,
68318.07032456687,
69645.52141151163,
69313.15766082307,
