Condition,Genotype,Treatment,Value
Control,mab_sibs, ,3380.110244299984
Control,mab_sibs, ,3385.0898691218163
Control,mab_sibs, ,3306.6886183962824
Control,mab_sibs, ,3413.286991944744
Control,mab_sibs, ,3503.7859086875305
Control,mab_sibs, ,3530.7818467692978
Control,mab_sibs, ,3472.292532866806
Control,mab_sibs, ,3354.974265509576
Control,mab_sibs, ,3482.0484384547945
Control,mab_sibs, ,3615.2669465962726
Control,mab_sibs, ,3456.500117730088
Control,mab_sibs, ,3437.111822791061
Control,mab_sibs, ,3440.922274012294
Control,mab_sibs, ,3439.98348434002
Control,mab_sibs, ,3545.404362395628
Control,mab_sibs, ,3481.552426162137
Control,mab_sibs, ,3417.069392257553
Control,mab_sibs, ,3508.482397465431
Control,mab_sibs, ,3419.198318196401
Control,mab_sibs, ,3573.3081047857213
Control,mab_sibs, ,3532.3688765647744
Control,mab_sibs, ,3463.315054541633
Test,mab_sibs,wls-/-,3259.8060971969157
Test,mab_sibs,wls-/-,2903.017819506291
Test,mab_sibs,wls-/-,3303.9454712011266
Test,mab_sibs,wls-/-,3072.946667970182
Test,mab_sibs,wls-/-,3193.864833404368
Test,mab_sibs,wls-/-,3050.2623111282446
Test,mab_sibs,wls-/-,2850.8279336601945
Test,mab_sibs,wls-/-,3039.08798976059
Test,mab_sibs,wls-/-,3050.4661326619607
Test,mab_sibs,wls-/-,3155.908327272156
Test,mab_sibs,wls-/-,2936.959285359804
Test,mab_sibs,wls-/-,3148.4864893138606
Test,mab_sibs,wls-/-,3025.962853185169
Test,mab_sibs,wls-/-,3175.583708363949
Test,mab_sibs,wls-/-,3200.924863907921
Test,mab_sibs,wls-/-,3219.7949543255727
Test,mab_sibs,wls-/-,3018.83428293365
Test,mab_sibs,wls-/-,3279.8122004324905
Test,mab_sibs,wls-/-,3201.543099599222
Test,mab_sibs,wls-/-,3213.718266204486
