Condition,Genotype,Treatment,Value
Control,mab_sibs, ,0.0940429015187483
Control,mab_sibs, ,0.0898716299772857
Control,mab_sibs, ,0.0965841340299934
Control,mab_sibs, ,0.0914832166263476
Control,mab_sibs, ,0.0936825673545415
Control,mab_sibs, ,0.0868523109914302
Control,mab_sibs, ,0.0928454056799452
Control,mab_sibs, ,0.0945032991950193
Control,mab_sibs, ,0.0871767093276263
Control,mab_sibs, ,0.0882637831424003
Control,mab_sibs, ,0.0936338534517348
Control,mab_sibs, ,0.0922716410283953
Control,mab_sibs, ,0.0902545038798788
Control,mab_sibs, ,0.0930372673997294
Control,mab_sibs, ,0.0886131281657005
Control,mab_sibs, ,0.0917742342162963
Control,mab_sibs, ,0.0919393838693723
Control,mab_sibs, ,0.0896922157951198
Control,mab_sibs, ,0.0919092710271156
Control,mab_sibs, ,0.0895458177435962
Control,mab_sibs, ,0.0925051100991787
Control,mab_sibs, ,0.0910913463848308
Control,mab_sibs, ,0.0961926813241165
Control,mab_sibs, ,0.0920508197573692
Control,mab_sibs, ,0.096916678106974
Control,mab_sibs, ,0.0932243738403406
Control,mab_sibs, ,0.0930488044085689
Control,mab_sibs, ,0.0863493903769887
Control,mab_sibs, ,0.0919697768182325
Control,mab_sibs, ,0.0948104955632956
Control,mab_sibs, ,0.0882648221939355
Control,mab_sibs, ,0.0879947784923387
Control,mab_sibs, ,0.093767704405506
Control,mab_sibs, ,0.0924521575855991
Control,mab_sibs, ,0.0935535990942613
Control,mab_sibs, ,0.0910125936554903
Control,mab_sibs, ,0.0921972002521742
Control,mab_sibs, ,0.0915637387396418
Control,mab_sibs, ,0.0925554265580408
Control,mab_sibs, ,0.0915679247888215
Control,mab_sibs, ,0.0917326304422738
Control,mab_sibs, ,0.0906458400872805
Control,mab_sibs, ,0.0923592401718442
Control,mab_sibs, ,0.092906249985747
Test,mab_sibs,wls-/-,0.0901520459664239
Test,mab_sibs,wls-/-,0.097388152913284
Test,mab_sibs,wls-/-,0.0933039515134362
Test,mab_sibs,wls-/-,0.0988661871023905
Test,mab_sibs,wls-/-,0.0942051266497684
Test,mab_sibs,wls-/-,0.1002179464073643
Test,mab_sibs,wls-/-,0.098311031429583
Test,mab_sibs,wls-/-,0.0974826197748183
Test,mab_sibs,wls-/-,0.0941115367092974
Test,mab_sibs,wls-/-,0.0915637996189243
Test,mab_sibs,wls-/-,0.0991026333389356
Test,mab_sibs,wls-/-,0.0935581998525631
Test,mab_sibs,wls-/-,0.0948898606672777
Test,mab_sibs,wls-/-,0.0940470909972272
Test,mab_sibs,wls-/-,0.0889513908476799
Test,mab_sibs,wls-/-,0.0902104489472305
Test,mab_sibs,wls-/-,0.0994513946549708
Test,mab_sibs,wls-/-,0.0896188124337175
Test,mab_sibs,wls-/-,0.0923887400958173
Test,mab_sibs,wls-/-,0.0917398090212989
Test,mab_sibs,wls-/-,0.0897528845808734
Test,mab_sibs,wls-/-,0.1015939484272903
Test,mab_sibs,wls-/-,0.0915950827774934
Test,mab_sibs,wls-/-,0.0971416700322438
Test,mab_sibs,wls-/-,0.0940800346705745
Test,mab_sibs,wls-/-,0.0994052849420754
Test,mab_sibs,wls-/-,0.0995400214775318
Test,mab_sibs,wls-/-,0.0982290126041675
Test,mab_sibs,wls-/-,0.0947543461931914
Test,mab_sibs,wls-/-,0.0951525056781096
Test,mab_sibs,wls-/-,0.100820456121924
Test,mab_sibs,wls-/-,0.0972347024929101
Test,mab_sibs,wls-/-,0.0963735855481121
Test,mab_sibs,wls-/-,0.0937714297386793
Test,mab_sibs,wls-/-,0.0896760385086342
Test,mab_sibs,wls-/-,0.0931239242152904
Test,mab_sibs,wls-/-,0.09329338244914
Test,mab_sibs,wls-/-,0.0900289213922173
Test,mab_sibs,wls-/-,0.0866234149350741
Test,mab_sibs,wls-/-,0.0919846968065804
