Condition,Genotype,Treatment,Value
Control,mab_sibs, ,317.7233923222923
Control,mab_sibs, ,305.6705463440472
Control,mab_sibs, ,317.97540475677715
Control,mab_sibs, ,313.54129585691345
Control,mab_sibs, ,328.8930360485384
Control,mab_sibs, ,308.9943014448082
Control,mab_sibs, ,319.812549702596
Control,mab_sibs, ,313.57476484347234
Control,mab_sibs, ,301.58381989223005
Control,mab_sibs, ,318.6894074661115
Control,mab_sibs, ,325.5382486611809
Control,mab_sibs, ,316.48148106255195
Control,mab_sibs, ,309.9591341437361
Control,mab_sibs, ,317.57661294289056
Control,mab_sibs, ,312.3960376425254
Control,mab_sibs, ,318.86185264701305
Control,mab_sibs, ,312.35297291744905
Control,mab_sibs, ,315.5626529147983
Control,mab_sibs, ,312.75253966663246
Control,mab_sibs, ,319.8164821806963
Control,mab_sibs, ,325.8787330774121
Control,mab_sibs, ,312.1985608859827
Control,mab_sibs, ,325.29732432918
Control,mab_sibs, ,310.1182085913602
Control,mab_sibs, ,321.87634263944994
Control,mab_sibs, ,316.89430463544863
Control,mab_sibs, ,325.3781060806781
Control,mab_sibs, ,302.55665831294897
Control,mab_sibs, ,321.8955542741178
Control,mab_sibs, ,321.5794613696225
Control,mab_sibs, ,309.3366762305327
Control,mab_sibs, ,318.5311018124921
Control,mab_sibs, ,322.2125523169381
Control,mab_sibs, ,318.43617495437206
Control,mab_sibs, ,322.5321787994341
Control,mab_sibs, ,315.498116233422
Control,mab_sibs, ,328.7214142544137
Control,mab_sibs, ,319.4374096853173
Control,mab_sibs, ,318.09072667264866
Control,mab_sibs, ,320.3669754606783
Control,mab_sibs, ,315.15265143701384
Control,mab_sibs, ,324.0657739651081
Control,mab_sibs, ,327.12895112492413
Control,mab_sibs, ,325.10842477786514
Test,mab_sibs,wls-/-,291.5478967362226
Test,mab_sibs,wls-/-,283.79763456393795
Test,mab_sibs,wls-/-,307.798535741038
Test,mab_sibs,wls-/-,304.576390529695
Test,mab_sibs,wls-/-,298.0323331193152
Test,mab_sibs,wls-/-,301.2126683788122
Test,mab_sibs,wls-/-,280.76984408774746
Test,mab_sibs,wls-/-,295.12203638309256
Test,mab_sibs,wls-/-,288.1208486891386
Test,mab_sibs,wls-/-,287.10418228999464
Test,mab_sibs,wls-/-,292.7651159443553
Test,mab_sibs,wls-/-,296.2763570893526
Test,mab_sibs,wls-/-,290.6439570358481
Test,mab_sibs,wls-/-,298.5999532370252
Test,mab_sibs,wls-/-,284.9609721776351
Test,mab_sibs,wls-/-,287.2093563937935
Test,mab_sibs,wls-/-,295.57990096308185
Test,mab_sibs,wls-/-,294.0047386302836
Test,mab_sibs,wls-/-,287.6317551096844
Test,mab_sibs,wls-/-,295.9234044408775
Test,mab_sibs,wls-/-,294.8969750668807
Test,mab_sibs,wls-/-,293.8043930444088
Test,mab_sibs,wls-/-,303.0891349384698
Test,mab_sibs,wls-/-,297.7586599785982
Test,mab_sibs,wls-/-,303.3212430176565
Test,mab_sibs,wls-/-,307.65423590155166
Test,mab_sibs,wls-/-,283.2631886035313
Test,mab_sibs,wls-/-,299.6715347244516
Test,mab_sibs,wls-/-,288.001049117175
Test,mab_sibs,wls-/-,302.2283691278759
Test,mab_sibs,wls-/-,294.37130882825045
Test,mab_sibs,wls-/-,304.36533590155165
Test,mab_sibs,wls-/-,288.0572310861424
Test,mab_sibs,wls-/-,297.8333217228465
Test,mab_sibs,wls-/-,286.81009946495453
Test,mab_sibs,wls-/-,303.194689941145
Test,mab_sibs,wls-/-,285.9968751738898
Test,mab_sibs,wls-/-,295.2057616907437
Test,mab_sibs,wls-/-,284.9744927768861
Test,mab_sibs,wls-/-,294.5124662386303
