Control_MAB_siblings,Control_MAB_phenos,Injected_MAB_siblings,Injected_MAB_phenos
3535.263168198729,3536.43187325506,3312.7253386041525,3307.6954721806374
3493.336951488265,3602.969116238325,3286.0233031944517,3212.79343209343
3527.239373599933,3629.2558119447085,3231.853683897526,3157.5340050270706
3546.006488205793,3627.056680132785,3199.292337466488,3281.1182570645587
3473.4924666755414,3553.7091938800777,3133.160345691243,3192.6532973279864
3564.1630083007203,3532.272255093955,3125.9153170597924,3314.6083518098953
3552.280201135105,3631.298671704964,2935.9879605091974,3215.9167157920742
3652.9019912030426,3556.551403920974,3154.401940372387,3199.3024957007356
3510.3852754139853,3483.1502267620863,3251.9893968810948,3246.7432829052486
3523.783392066134,3528.7225743209674,2999.9217404069786,3323.497108872415
3607.8600517128584,3566.526605257812,3234.2800359662415,3114.5437669292396
3565.897167519787,3698.5584552789146,,3360.4360612038536
