Control_MAB_siblings,Control_MAB_phenos,Injected_MAB_siblings,Injected_MAB_phenos
3533.962298531646,3539.689384659749,3314.21189890596,3316.4794214391163
3496.5378641018247,3607.834671015612,3311.5682040047495,3197.1643930366795
3501.69439066042,3636.5152597019583,3255.0030044765863,3151.3864674272695
3507.680494788101,3638.0930487759915,3164.8980620975713,3268.460497129413
3432.0660822485984,3504.0995132453645,3109.4774477984197,3208.7740979152145
3579.7931829003355,3530.4047514563854,3094.112557972324,3300.2469356554834
3519.6773149661044,3641.968402956643,2932.060699554224,3217.705404672001
3617.4611297320107,3575.6412717471444,3137.225754052458,3185.421589993113
3469.323595201566,3414.3340978999436,3261.914736594545,3217.629172341624
3466.3944100494678,3501.4764128462393,2966.033671359599,3319.955069229557
3606.656252009005,3511.4248535017373,3198.8519517116324,3143.144329641694
3512.1567308466274,3665.4806260660007,3311.238778302345,3379.8936657622544
3536.564037865812,3533.1743618503706,3260.478402384154,3298.9115229221584
3490.1360388747057,3598.103561461038,3208.7043633184653,3228.42247115018
3552.7843565394455,3621.9963641874583,3233.686612835404,3163.681542626872
3584.3324816234854,3616.020311489579,3156.8432435840664,3293.776016999705
3514.918851102485,3603.3188745147913,3157.718076147261,3176.5324967407587
3548.532833701105,3534.1397587315246,2939.9152214641713,3328.9697679643073
3584.883087304106,3620.628940453285,3171.578126692316,3214.1280269121476
3688.342852674075,3537.4615360948037,3242.064057167644,3213.183401408358
3551.446955626404,3551.9663556242294,3033.8098094543584,3275.857393468874
3581.172374082801,3555.968735795696,3269.708120220851,3327.0391485152736
3609.0638514167117,3621.628357013887,,3085.9432042167846
3619.6376041929475,3731.6362844918285,,3340.9784566454528
