Condition,Genotype,Treatment,Value
Control,mab_sibs, ,326.0675581366698
Control,mab_sibs, ,326.88098684904776
Control,mab_sibs, ,320.3336715035456
Control,mab_sibs, ,326.40567463645755
Control,mab_sibs, ,321.3757628708986
Control,mab_sibs, ,331.035402120885
Control,mab_sibs, ,318.5264387944516
Control,mab_sibs, ,321.4229585584942
Control,mab_sibs, ,311.78189643945024
Control,mab_sibs, ,305.94440305419533
Control,mab_sibs, ,309.5717223823943
Control,mab_sibs, ,330.17854418484296
Control,mab_sibs, ,330.02062008171515
Control,mab_sibs, ,330.642804399242
Control,mab_sibs, ,321.63993898942266
Control,mab_sibs, ,339.4189418862357
Control,mab_sibs, ,316.8630066480377
Control,mab_sibs, ,328.0819183352659
Control,mab_sibs, ,319.8868679876824
Control,mab_sibs, ,322.3280435611926
Control,mab_sibs, ,314.9359734235655
Control,mab_sibs, ,310.16412411632507
Control,mab_sibs, ,307.5272411702841
Control,mab_sibs, ,338.32968277543245
Control,mab-/-, ,285.80830276262225
Control,mab-/-, ,289.55986662624576
Control,mab-/-, ,302.42273795780505
Control,mab-/-, ,315.1221948009257
Control,mab-/-, ,311.3159322749157
Control,mab-/-, ,296.5969051902424
Control,mab-/-, ,304.07057356543925
Control,mab-/-, ,313.65721686367846
Control,mab-/-, ,270.2037023106787
Control,mab-/-, ,295.4262876475252
Control,mab-/-, ,300.7442335354453
Control,mab-/-, ,305.09536811331566
Control,mab-/-, ,290.7900850710794
Control,mab-/-, ,297.62696745321165
Control,mab-/-, ,302.151708079882
Control,mab-/-, ,308.88956550664534
Control,mab-/-, ,302.34265008073345
Control,mab-/-, ,298.4011780605055
Control,mab-/-, ,302.6088649757593
Control,mab-/-, ,309.13821732184897
Control,mab-/-, ,276.2264104246616
Control,mab-/-, ,294.1201669409418
Control,mab-/-, ,303.6925731941324
Control,mab-/-, ,306.0257892112135
Test,mab_sibs,wls-/-,307.9543044711588
Test,mab_sibs,wls-/-,306.7182689880155
Test,mab_sibs,wls-/-,302.96988648005
Test,mab_sibs,wls-/-,312.72510079315424
Test,mab_sibs,wls-/-,291.83254796758223
Test,mab_sibs,wls-/-,299.90365384647737
Test,mab_sibs,wls-/-,291.2034922242384
Test,mab_sibs,wls-/-,301.8657746286435
Test,mab_sibs,wls-/-,292.4230051138368
Test,mab_sibs,wls-/-,305.42689454327
Test,mab_sibs,wls-/-,300.5261580265465
Test,mab_sibs,wls-/-,305.8459323427021
Test,mab_sibs,wls-/-,298.93981424659967
Test,mab_sibs,wls-/-,301.5409588713058
Test,mab_sibs,wls-/-,284.79419067131835
Test,mab_sibs,wls-/-,298.0009214328097
Test,mab_sibs,wls-/-,291.36016268090594
Test,mab_sibs,wls-/-,283.71391517515207
Test,mab_sibs,wls-/-,304.72789010169305
Test,mab_sibs,wls-/-,299.9637243547646
Test,mab_sibs,wls-/-,302.9546728385656
Test,mab_sibs,wls-/-,308.95276593393606
Test,mab-/-,wls-/-,278.92603151665645
Test,mab-/-,wls-/-,272.6632690824706
Test,mab-/-,wls-/-,280.21749776532096
Test,mab-/-,wls-/-,283.3289439515719
Test,mab-/-,wls-/-,274.3120028378126
Test,mab-/-,wls-/-,281.4597176269226
Test,mab-/-,wls-/-,275.6108515213415
Test,mab-/-,wls-/-,266.35491046090283
Test,mab-/-,wls-/-,278.3489244907768
Test,mab-/-,wls-/-,275.11282941365613
Test,mab-/-,wls-/-,285.4971967421563
Test,mab-/-,wls-/-,281.3283931601192
Test,mab-/-,wls-/-,276.99279090072605
Test,mab-/-,wls-/-,264.80094914014364
Test,mab-/-,wls-/-,279.35255173211846
Test,mab-/-,wls-/-,279.99926712840244
Test,mab-/-,wls-/-,261.31715850867886
Test,mab-/-,wls-/-,282.64911783255195
Test,mab-/-,wls-/-,273.9213948382596
Test,mab-/-,wls-/-,260.69028660656863
Test,mab-/-,wls-/-,272.152023106029
Test,mab-/-,wls-/-,273.60893066622685
Test,mab-/-,wls-/-,281.7793080191792
Test,mab-/-,wls-/-,286.029483808799
