Control_MAB_siblings,Control_MAB_phenos,Injected_MAB_siblings,Injected_MAB_phenos
70804.357296772,50067.263952777226,64753.96292054226,46803.17137280224
72076.27128842512,49825.93523457701,65026.20919694607,45243.55232564352
69130.22877478518,54623.30968250026,61581.47792042975,47888.72119417263
71215.16003771781,59252.927749800336,65550.09004428463,47317.31891478041
67135.47372327968,54452.97683869346,56838.49547304985,46088.63224987489
74045.2617080943,52242.65770082406,59467.06046772889,46328.52959963976
68815.04144532082,51419.90712418416,56900.616863144096,45400.14403247094
69113.91117462218,54268.61658422022,61318.678675699266,45974.695322420936
64051.73356615894,45524.95936003357,57261.89425622675,47556.071169797
62283.42100112601,53034.77699294744,63425.93928622337,45205.764198950244
63825.57735337344,52836.103054120686,61129.16549485876,51735.38072733558
72695.76754724514,54711.481978117896,65150.16570344749,49916.683993378276
70919.15304528717,48927.32213086349,60746.41757524583,48278.053408588166
72550.91306158759,50708.51701181459,61112.56162100868,44697.05585702641
69434.53770414085,53599.30870384997,54319.57330051872,48162.39883901179
74878.03186378165,56432.55938478424,59250.92383399085,49016.92579491648
67438.63755788706,51202.62539569784,56698.22136638543,45981.279617223554
73112.58203561942,51875.94110768707,54323.86740582478,47272.373945910374
68904.35883568674,51125.0452265018,62967.6151132239,45682.12361423514
69252.46763916417,50609.466316088285,59610.19731126401,45456.253675136715
65917.09291110869,45694.43338277916,62839.93704879057,45674.680498371315
64025.682660635546,51968.980055984895,63777.76964763271,45198.32108308642
60988.60511450726,54731.807409899884,,52107.25024683983
76923.17108421151,55517.34240722065,,50021.74643653306
