Human_Gene_Name,Zebrafish_Gene_Name 0,Zebrafish_Gene_Name 1,Zebrafish_Gene_Name 2,Zebrafish_Gene_Name 3,Zebrafish_Gene_Name 4,Zebrafish_Gene_Name 5,Zebrafish_Gene_Name 6,Zebrafish_Gene_Name 7,Zebrafish_Gene_Name 8,Zebrafish_Gene_Name 9,Zebrafish_Gene_Name 10,Zebrafish_Gene_Name 11,Zebrafish_Gene_Name 12,Zebrafish_Gene_Name 13,Zebrafish_Gene_Name 14,Zebrafish_Gene_Name 15,Zebrafish_Gene_Name 16,Zebrafish_Gene_Name 17,Zebrafish_Gene_Name 18,Zebrafish_Gene_Name 19,Zebrafish_Gene_Name 20,Zebrafish_Gene_Name 21,Zebrafish_Gene_Name 22,Zebrafish_Gene_Name 23,Zebrafish_Gene_Name 24,Zebrafish_Gene_Name 25,Zebrafish_Gene_Name 26,Zebrafish_Gene_Name 27,Zebrafish_Gene_Name 28,Zebrafish_Gene_Name 29,Zebrafish_Gene_Name 30,Zebrafish_Gene_Name 31,Zebrafish_Gene_Name 32,Zebrafish_Gene_Name 33,Zebrafish_Gene_Name 34,Zebrafish_Gene_Name 35,Zebrafish_Gene_Name 36,Zebrafish_Gene_Name 37,Zebrafish_Gene_Name 38,Zebrafish_Gene_Name 39,Zebrafish_Gene_Name 40,Zebrafish_Gene_Name 41,Zebrafish_Gene_Name 42,Zebrafish_Gene_Name 43,Zebrafish_Gene_Name 44
7SK,BX323829.1,BX323829.1,BX323829.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1CF,a1cf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2ML1,zgc:171446,zgc:171445,zgc:171426,zgc:165518,zgc:165453,si:dkey-52d15.2,si:dkey-46g23.5,si:dkey-46g23.2,si:dkey-105h12.2,si:ch211-212c13.8,si:ch211-212c13.10,sb:cb37,CABZ01075618.1,a2ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAS,aaas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AACS,aacs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AADAC,aadac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AADACL2,si:dkey-193c22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AADACL3,si:dkey-193c22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AADACL4,si:dkey-193c22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AADAT,aadat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAGAB,aagab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAK1,aak1b,aak1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAMDC,aamdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAMP,aamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AANAT,aanat1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAR2,aar2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARS1,aars1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARS2,aars2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARSD1,aarsd1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AASDH,aasdh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AASDHPPT,aasdhppt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AASS,aass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AATF,aatf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AATK,aatkb,aatka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAT,abat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCA1,abca1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCA12,abca12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCA13,abca5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
