#chrom	txStart	txEnd	name2	strand
16	70251983	70289707	AARS1_microphthalmia	-
16	16149565	16223522	ABCC6_microphthalmia	-
12	21797389	21942543	ABCC9_microphthalmia	-
4	145098288	145129524	ABCE1_microphthalmia	+
7	73736094	73738852	ABHD11_microphthalmia	-
3	179562886	179588407	ACTL6A_microphthalmia	+
1	236664141	236764631	ACTN2_microphthalmia	+
2	147844517	147930826	ACVR2A_microphthalmia	+
3	38453890	38493142	ACVR2B_microphthalmia	+
15	43330672	43354569	ADAL_microphthalmia	+
5	5140330	5320304	ADAMTS16_microphthalmia_coloboma	+
3	64515654	64688000	ADAMTS9_microphthalmia	-
21	45073853	45226560	ADARB1_microphthalmia	+
7	45574140	45723116	ADCY1_microphthalmia	+
18	904871	912172	ADCYAP1_microphthalmia	+
20	50888916	50931437	ADNP_microphthalmia	-
22	24417879	24442357	ADORA2A_microphthalmia	+
1	244408494	244451909	ADSS2_microphthalmia	-
10	114294824	114404756	AFAP1L2_coloboma	-
2	27042364	27070622	AGBL5_microphthalmia	+
1	1020120	1056118	AGRN_microphthalmia	+
9	85546539	85742029	AGTPBP1_microphthalmia	-
1	246839098	246931948	AHCTF1_microphthalmia	-
3	105366909	105576900	ALCAM_microphthalmia	+
15	57953424	58497866	ALDH1A2_microphthalmia	-
3	126103562	126197994	ALDH1L1_microphthalmia	-
5	126531200	126595362	ALDH7A1_microphthalmia_coloboma	-
X	111665811	111760649	ALG13_microphthalmia	+
2	29192774	29921586	ALK_microphthalmia	-
17	6996049	7010754	ALOX12_microphthalmia	+
9	114060127	114078328	AMBP_microphthalmia	-
11	46396414	46594125	AMBRA1_microphthalmia	-
X	64185117	64205708	AMER1_microphthalmia	-
12	51888009	51891727	ANKRD33_microphthalmia	+
12	45215987	45482280	ANO6_microphthalmia	+
5	112707498	112846239	APC_microphthalmia	+
14	20455191	20457772	APEX1_microphthalmia	+
1	228082708	228099212	ARF1_microphthalmia	+
16	18791669	18801572	ARL6IP1_microphthalmia	-
2	231198546	231376848	ARMC9_coloboma	+
15	80404350	80597933	ARNT2_microphthalmia	+
1	197084121	197146694	ASPM_microphthalmia	-
6	30626842	30646823	ATAT1_microphthalmia	+
19	10543895	10553418	ATG4D_microphthalmia	+
6	106045423	106325791	ATG5_microphthalmia	-
3	11272309	11557665	ATG7_microphthalmia	+
2	85751344	85791383	ATOH8_microphthalmia	+
1	116372668	116410261	ATP1A1_microphthalmia	+
21	33903453	33915814	ATP5PO_microphthalmia	-
X	154428633	154436516	ATP6AP1_microphthalmia	+
X	40579372	40606848	ATP6AP2_microphthalmia	+
16	2513952	2520218	ATP6V0C_microphthalmia	+
16	67438014	67481181	ATP6V0D1_microphthalmia	-
22	17592136	17628749	ATP6V1E1_microphthalmia	-
7	128862856	128865847	ATP6V1F_microphthalmia	+
8	53715543	53843558	ATP6V1H_microphthalmia	-
3	142449007	142578733	ATR_microphthalmia	-
14	92044496	92106621	ATXN3_microphthalmia	-
3	63863155	64003462	ATXN7_microphthalmia_coloboma	+
20	56369389	56392337	AURKA_microphthalmia	-
7	69598296	70793506	AUTS2_microphthalmia	+
16	287440	352723	AXIN1_anophthalmia_microphthalmia	-
1	114567557	114581629	BCAS2_microphthalmia	-
2	60450520	60554467	BCL11A_microphthalmia	-
3	187721377	187745725	BCL6_coloboma	-
11	27654893	27722058	BDNF_microphthalmia	-
17	42810134	42833350	BECN1_microphthalmia	-
5	79111809	79132288	BHMT_microphthalmia	+
12	119989236	120094494	BICDL1_microphthalmia	+
17	78214186	78225636	BIRC5_microphthalmia	+
12	55716038	55720087	BLOC1S1_microphthalmia	+
10	100273280	100286680	BLOC1S2_microphthalmia	-
14	105209286	105315589	BRF1_microphthalmia	-
19	571277	583494	BSG_microphthalmia	+
X	101349338	101390796	BTK_microphthalmia	-
6	105096822	105137157	BVES_microphthalmia	-
6	41921499	41933046	BYSL_microphthalmia	+
12	121000486	121016502	C12orf43_anophthalmia_microphthalmia	-
19	29698937	29715789	C19orf12_microphthalmia	-
1	37681570	37692249	C1orf109_microphthalmia	-
17	51630313	52160017	CA10_microphthalmia	-
1	150257251	150265078	CA14_microphthalmia	+
19	3610645	3626815	CACTIN_microphthalmia	-
2	27217369	27243943	CAD_microphthalmia	+
10	12349547	12835545	CAMK1D_microphthalmia	+
11	65180566	65212006	CAPN1_microphthalmia	+
1	19338775	19485539	CAPZB_microphthalmia	-
11	3000922	3057613	CARS1_microphthalmia	-
2	218356857	218368099	CATIP_microphthalmia	+
7	116524994	116561179	CAV1_microphthalmia	+
19	13906201	13930879	CC2D1A_microphthalmia	+
7	23597382	23644708	CCDC126_microphthalmia	+
1	32200595	32205453	CCDC28B_microphthalmia	+
7	44999475	45076469	CCM2_microphthalmia	+
6	131948176	131951372	CCN2_microphthalmia	-
4	121816444	121823883	CCNA2_microphthalmia	-
11	69641156	69654474	CCND1_microphthalmia	+
14	99481169	99535044	CCNK_microphthalmia	+
17	40553769	40565472	CCR7_microphthalmia	-
1	229321011	229343294	CCSAP_microphthalmia	-
12	69585426	69601570	CCT2_microphthalmia	+
1	156308968	156367873	CCT3_microphthalmia	-
5	10249929	10266389	CCT5_microphthalmia	+
2	73233420	73253021	CCT7_microphthalmia	+
11	66314494	66317044	CD248_microphthalmia	-
13	114234887	114272723	CDC16_microphthalmia	+
20	3786772	3806121	CDC25B_microphthalmia	+
9	113255835	113275572	CDC26_microphthalmia	-
19	10391133	10420121	CDC37_microphthalmia	-
1	22052627	22101360	CDC42_microphthalmia	+
16	64943753	65126112	CDH11_microphthalmia	-
20	61252261	61940617	CDH4_microphthalmia	+
5	31193686	31329146	CDH6_microphthalmia	+
16	29858357	29863414	CDIPT_microphthalmia	-
10	60778331	60794852	CDK1_microphthalmia	+
16	89680737	89696354	CDK10_microphthalmia	+
7	151053815	151057897	CDK5_microphthalmia	-
14	50326265	50416461	CDKL1_microphthalmia	-
5	150166778	150184558	CDX1_microphthalmia	+
11	47465933	47565569	CELF1_microphthalmia	-
5	69189574	69210357	CENPH_microphthalmia	+
1	173799550	173824883	CENPL_microphthalmia	-
16	81006552	81033114	CENPN_microphthalmia	+
16	67828157	67847811	CENPT_microphthalmia	-
6	126340115	126348875	CENPW_microphthalmia	+
1	3812086	3857396	CEP104_microphthalmia	-
5	123344890	123423592	CEP120_microphthalmia	-
10	93496612	93529092	CEP55_microphthalmia	+
5	75356345	75512138	CERT1_microphthalmia	-
4	122728532	122732482	CETN4P_microphthalmia	-
11	65823022	65862026	CFL1_microphthalmia	-
21	36385392	36419015	CHAF1B_microphthalmia	+
1	6101787	6180321	CHD5_microphthalmia	-
17	80991598	81009517	CHMP6_microphthalmia	+
3	184380054	184390736	CHRD_microphthalmia	+
11	74696429	74731426	CHRDL2_microphthalmia	-
15	101175727	101252048	CHSY1_microphthalmia_coloboma	-
1	108881885	108963527	CLCC1_microphthalmia	-
7	73768997	73770270	CLDN3_microphthalmia	-
5	157785743	157859145	CLINT1_microphthalmia	-
11	57648188	57661865	CLP1_microphthalmia	+
11	72285495	72434680	CLPB_microphthalmia	-
16	3500976	3539048	CLUAP1_microphthalmia	+
3	129167827	129183922	CNBP_microphthalmia	-
16	58519951	58629885	CNOT1_microphthalmia	-
17	7932101	7949920	CNTROB_microphthalmia	+
1	234373456	234385080	COA6_microphthalmia	+
7	51016212	51316818	COBL_microphthalmia	-
16	70480568	70523560	COG4_microphthalmia	-
9	98943179	99070792	COL15A1_microphthalmia	+
21	46098112	46132848	COL6A2_microphthalmia	+
7	100088969	100092187	COPS6_microphthalmia	+
12	54301202	54351846	COPZ1_microphthalmia	+
16	30182827	30189076	CORO1A_microphthalmia	+
15	74919791	74938083	COX5A_microphthalmia	-
8	144393229	144409335	CPSF1_microphthalmia	-
2	9423651	9473101	CPSF3_microphthalmia	+
7	99438922	99457373	CPSF4_microphthalmia	+
7	16087525	16502504	CRPPA_microphthalmia	-
5	150053291	150113372	CSF1R_microphthalmia	-
3	39141855	39154562	CSRNP1_microphthalmia	-
11	33077188	33162371	CSTF3_microphthalmia	-
16	67562467	67639177	CTCF_microphthalmia	+
3	41194741	41260096	CTNNB1_microphthalmia	+
17	38800441	38825355	CWC25_microphthalmia	-
11	107326360	107457825	CWF19L2_microphthalmia	-
17	76527356	76551175	CYGB_microphthalmia	-
16	50742050	50801935	CYLD_microphthalmia	+
15	51208057	51338601	CYP19A1_microphthalmia	-
10	93073475	93077885	CYP26A1_microphthalmia	+
2	72129238	72147862	CYP26B1_microphthalmia	-
6	168292830	168319777	DACT2_microphthalmia	-
17	63550222	63594286	DCAF7_microphthalmia	+
13	94436811	94479682	DCT_microphthalmia	-
2	74361154	74392087	DCTN1_microphthalmia	-
12	57529633	57547224	DCTN2_microphthalmia	-
12	31073860	31104799	DDX11_microphthalmia	+
2	117814691	117832377	DDX18_microphthalmia	+
16	70346861	70373383	DDX19A_microphthalmia	+
20	49219347	49244077	DDX27_microphthalmia	+
X	41333348	41364472	DDX3X_microphthalmia	+
5	134758771	134855133	DDX46_microphthalmia	+
12	132136594	132144319	DDX51_microphthalmia	-
12	113157173	113185479	DDX54_microphthalmia	-
12	123602077	123620943	DDX55_microphthalmia	+
7	44565804	44575051	DDX56_microphthalmia	-
6	35297818	35321771	DEF6_microphthalmia	+
8	123013170	123042302	DERL1_microphthalmia	-
2	169064789	169096167	DHRS9_microphthalmia	+
17	5440917	5468982	DHX33_microphthalmia	-
14	95086228	95158010	DICER1_microphthalmia	-
14	80197526	80387757	DIO2_microphthalmia	-
14	101560139	101563452	DIO3_microphthalmia	+
1	231626790	232041272	DISC1_microphthalmia	+
1	222815022	223005995	DISP1_microphthalmia	+
X	154762742	154777689	DKC1_microphthalmia	+
10	52314281	52318042	DKK1_anophthalmia_microphthalmia	+
11	11956207	12009769	DKK3_microphthalmia	-
11	112025408	112064404	DLAT_microphthalmia	+
14	74881891	74903743	DLST_microphthalmia	+
1	44213455	44220681	DMAP1_microphthalmia	+
16	84145287	84178767	DNAAF1_microphthalmia	+
19	14514769	14560391	DNAJB1_microphthalmia	-
19	10718055	10833488	DNM2_microphthalmia	+
10	99875577	100009947	DNMBP_microphthalmia	-
20	32762385	32809359	DNMT3B_microphthalmia	+
16	30005514	30023270	DOC2A_microphthalmia	-
16	67987394	68000586	DPEP2_microphthalmia	-
20	50934867	50959140	DPM1_microphthalmia	-
1	11691710	11725857	DRAXIN_microphthalmia	+
11	117427772	117817525	DSCAML1_microphthalmia	-
6	15522807	15663058	DTNBP1_microphthalmia	-
8	33591330	33600023	DUSP26_microphthalmia	-
14	101964573	102056443	DYNC1H1_microphthalmia	+
11	103109410	103479863	DYNC2H1_microphthalmia	+
9	128633653	128656847	DYNC2I2_microphthalmia	-
2	43774039	43810010	DYNC2LI1_microphthalmia	+
3	196291219	196318299	DYNLT2B_microphthalmia	-
19	39825350	39834201	DYRK1B_microphthalmia	-
20	18383367	18467281	DZANK1_microphthalmia	-
13	95578202	95644706	DZIP1_microphthalmia_coloboma	-
1	43164175	43270936	EBNA1BP2_microphthalmia	-
5	138465479	138469303	EGR1_microphthalmia	+
6	31879759	31897698	EHMT2_microphthalmia	-
1	44850522	44986722	EIF2B3_microphthalmia	-
22	36510855	36529184	EIF3D_microphthalmia	-
8	108162787	108443496	EIF3E_microphthalmia	-
11	7970251	8001862	EIF3F_microphthalmia	+
19	10115014	10119918	EIF3G_microphthalmia	-
17	7572824	7579006	EIF4A1_microphthalmia	+
6	10980759	11044305	ELOVL2_microphthalmia	-
3	9962682	10011202	EMC3_microphthalmia	-
2	120013077	120179119	EPB41L5_microphthalmia	+
8	27490781	27545564	EPHX2_microphthalmia	+
20	13714322	13784919	ESF1_microphthalmia_coloboma	-
14	64084232	64338112	ESR2_microphthalmia	-
1	216503246	217137755	ESRRG_microphthalmia	-
5	138506095	138543236	ETF1_microphthalmia	-
14	57200507	57268905	EXOC5_microphthalmia	-
17	76081016	76121576	EXOC7_microphthalmia	-
9	130693721	130707288	EXOSC2_microphthalmia	+
9	37759234	37832117	EXOSC3_microphthalmia	-
8	144078648	144080648	EXOSC4_microphthalmia	+
19	41386371	41397362	EXOSC5_microphthalmia	-
13	36998816	37025881	EXOSC8_microphthalmia	+
4	121801318	121817021	EXOSC9_microphthalmia	+
1	100872372	100895179	EXTL2_microphthalmia	-
1	27970344	28088637	EYA3_anophthalmia_microphthalmia	-
7	148807257	148884321	EZH2_microphthalmia	-
8	81478419	81483236	FABP4_microphthalmia	-
5	74777574	74866966	FAM169A_microphthalmia	-
19	16185380	16192046	FAM32A_microphthalmia	+
19	39834458	39846379	FBL_microphthalmia	-
6	152970519	152983579	FBXO5_microphthalmia	-
11	61792911	61797238	FEN1_microphthalmia	+
5	108747841	109196841	FER_microphthalmia	+
8	123851987	124120061	FER1L6_microphthalmia	+
14	52857268	52952435	FERMT2_microphthalmia	-
