#chrom	txStart -1MB	txEnd +1MB	name2	strand
16	69251983	71289707	AARS1_microphthalmia	-
16	15149565	17223522	ABCC6_microphthalmia	-
12	20797389	22942543	ABCC9_microphthalmia	-
4	144098288	146129524	ABCE1_microphthalmia	+
7	72736094	74738852	ABHD11_microphthalmia	-
3	178562886	180588407	ACTL6A_microphthalmia	+
1	235664141	237764631	ACTN2_microphthalmia	+
2	146844517	148930826	ACVR2A_microphthalmia	+
3	37453890	39493142	ACVR2B_microphthalmia	+
15	42330672	44354569	ADAL_microphthalmia	+
5	4140330	6320304	ADAMTS16_microphthalmia_coloboma	+
3	63515654	65688000	ADAMTS9_microphthalmia	-
21	44073853	46226560	ADARB1_microphthalmia	+
7	44574140	46723116	ADCY1_microphthalmia	+
18	-95129	1912172	ADCYAP1_microphthalmia	+
20	49888916	51931437	ADNP_microphthalmia	-
22	23417879	25442357	ADORA2A_microphthalmia	+
1	243408494	245451909	ADSS2_microphthalmia	-
10	113294824	115404756	AFAP1L2_coloboma	-
2	26042364	28070622	AGBL5_microphthalmia	+
1	20120	2056118	AGRN_microphthalmia	+
9	84546539	86742029	AGTPBP1_microphthalmia	-
1	245839098	247931948	AHCTF1_microphthalmia	-
3	104366909	106576900	ALCAM_microphthalmia	+
15	56953424	59497866	ALDH1A2_microphthalmia	-
3	125103562	127197994	ALDH1L1_microphthalmia	-
5	125531200	127595362	ALDH7A1_microphthalmia_coloboma	-
X	110665811	112760649	ALG13_microphthalmia	+
2	28192774	30921586	ALK_microphthalmia	-
17	5996049	8010754	ALOX12_microphthalmia	+
9	113060127	115078328	AMBP_microphthalmia	-
11	45396414	47594125	AMBRA1_microphthalmia	-
X	63185117	65205708	AMER1_microphthalmia	-
12	50888009	52891727	ANKRD33_microphthalmia	+
12	44215987	46482280	ANO6_microphthalmia	+
5	111707498	113846239	APC_microphthalmia	+
14	19455191	21457772	APEX1_microphthalmia	+
1	227082708	229099212	ARF1_microphthalmia	+
16	17791669	19801572	ARL6IP1_microphthalmia	-
2	230198546	232376848	ARMC9_coloboma	+
15	79404350	81597933	ARNT2_microphthalmia	+
1	196084121	198146694	ASPM_microphthalmia	-
6	29626842	31646823	ATAT1_microphthalmia	+
19	9543895	11553418	ATG4D_microphthalmia	+
6	105045423	107325791	ATG5_microphthalmia	-
3	10272309	12557665	ATG7_microphthalmia	+
2	84751344	86791383	ATOH8_microphthalmia	+
1	115372668	117410261	ATP1A1_microphthalmia	+
21	32903453	34915814	ATP5PO_microphthalmia	-
X	153428633	155436516	ATP6AP1_microphthalmia	+
X	39579372	41606848	ATP6AP2_microphthalmia	+
16	1513952	3520218	ATP6V0C_microphthalmia	+
16	66438014	68481181	ATP6V0D1_microphthalmia	-
22	16592136	18628749	ATP6V1E1_microphthalmia	-
7	127862856	129865847	ATP6V1F_microphthalmia	+
8	52715543	54843558	ATP6V1H_microphthalmia	-
3	141449007	143578733	ATR_microphthalmia	-
14	91044496	93106621	ATXN3_microphthalmia	-
3	62863155	65003462	ATXN7_microphthalmia_coloboma	+
20	55369389	57392337	AURKA_microphthalmia	-
7	68598296	71793506	AUTS2_microphthalmia	+
16	-712560	1352723	AXIN1_anophthalmia_microphthalmia	-
1	113567557	115581629	BCAS2_microphthalmia	-
2	59450520	61554467	BCL11A_microphthalmia	-
3	186721377	188745725	BCL6_coloboma	-
11	26654893	28722058	BDNF_microphthalmia	-
17	41810134	43833350	BECN1_microphthalmia	-
5	78111809	80132288	BHMT_microphthalmia	+
12	118989236	121094494	BICDL1_microphthalmia	+
17	77214186	79225636	BIRC5_microphthalmia	+
12	54716038	56720087	BLOC1S1_microphthalmia	+
10	99273280	101286680	BLOC1S2_microphthalmia	-
14	104209286	106315589	BRF1_microphthalmia	-
19	-428723	1583494	BSG_microphthalmia	+
X	100349338	102390796	BTK_microphthalmia	-
6	104096822	106137157	BVES_microphthalmia	-
6	40921499	42933046	BYSL_microphthalmia	+
12	120000486	122016502	C12orf43_anophthalmia_microphthalmia	-
19	28698937	30715789	C19orf12_microphthalmia	-
1	36681570	38692249	C1orf109_microphthalmia	-
17	50630313	53160017	CA10_microphthalmia	-
1	149257251	151265078	CA14_microphthalmia	+
19	2610645	4626815	CACTIN_microphthalmia	-
2	26217369	28243943	CAD_microphthalmia	+
10	11349547	13835545	CAMK1D_microphthalmia	+
11	64180566	66212006	CAPN1_microphthalmia	+
1	18338775	20485539	CAPZB_microphthalmia	-
11	2000922	4057613	CARS1_microphthalmia	-
2	217356857	219368099	CATIP_microphthalmia	+
7	115524994	117561179	CAV1_microphthalmia	+
19	12906201	14930879	CC2D1A_microphthalmia	+
7	22597382	24644708	CCDC126_microphthalmia	+
1	31200595	33205453	CCDC28B_microphthalmia	+
7	43999475	46076469	CCM2_microphthalmia	+
6	130948176	132951372	CCN2_microphthalmia	-
4	120816444	122823883	CCNA2_microphthalmia	-
11	68641156	70654474	CCND1_microphthalmia	+
14	98481169	100535044	CCNK_microphthalmia	+
17	39553769	41565472	CCR7_microphthalmia	-
1	228321011	230343294	CCSAP_microphthalmia	-
12	68585426	70601570	CCT2_microphthalmia	+
1	155308968	157367873	CCT3_microphthalmia	-
5	9249929	11266389	CCT5_microphthalmia	+
2	72233420	74253021	CCT7_microphthalmia	+
11	65314494	67317044	CD248_microphthalmia	-
13	113234887	115272723	CDC16_microphthalmia	+
20	2786772	4806121	CDC25B_microphthalmia	+
9	112255835	114275572	CDC26_microphthalmia	-
19	9391133	11420121	CDC37_microphthalmia	-
1	21052627	23101360	CDC42_microphthalmia	+
16	63943753	66126112	CDH11_microphthalmia	-
20	60252261	62940617	CDH4_microphthalmia	+
5	30193686	32329146	CDH6_microphthalmia	+
